ID,A,B,C,D,E,F,G,H,I,J,Time
15403_12_1558061235626990130,0,196,209,0,34,0,9,0,0,0,136238529
15403_12_1558061235834006249,0,198,205,0,32,0,12,0,0,0,132787518
15403_12_1558061236018499798,0,383,370,0,30,0,21,0,0,0,99067950
15403_12_1558061236181405900,0,205,196,0,30,0,19,0,0,0,71364514
15403_12_1558061236291733692,0,199,202,0,30,0,13,0,0,0,107141012
15403_12_1558061236443820944,0,208,199,0,36,0,22,0,0,0,172358538
15403_12_1558061236696066312,0,211,196,0,36,0,24,0,0,0,90782288
15403_12_1558061236786873598,0,202,201,0,32,0,16,0,0,0,136542862
15403_12_1558061236923440762,0,202,202,0,33,0,16,0,0,0,120352389
15403_12_1558061237043817190,0,209,196,0,34,0,22,0,0,0,164001046
15403_12_1558061237265643866,0,212,194,0,35,0,26,0,0,0,89305513
15403_12_1558061237454174278,0,213,191,0,33,0,27,0,0,0,103617434
15403_12_1558061237592298645,0,212,194,0,35,0,25,0,0,0,86389053
15403_12_1558061237725573466,0,214,197,0,40,0,28,0,0,0,178837539
15403_12_1558061237933662673,0,212,221,0,62,0,24,0,0,0,176631110
15403_12_1558061238165706350,0,201,203,0,33,0,15,0,0,0,118082035
15403_12_1558061238283810401,0,204,198,0,31,0,18,0,0,0,138723838
15403_12_1558061238484320806,0,207,197,0,33,0,21,0,0,0,119013659
15403_12_1558061238603358143,0,205,198,0,32,0,19,0,0,0,180010907
15403_12_1558061238811308444,0,207,214,0,50,0,20,0,0,0,165435505
15403_12_1558061239012073110,0,206,206,0,41,0,20,0,0,0,131916172
15403_12_1558061239219918342,0,207,206,0,42,0,20,0,0,0,139953826
15403_12_1558061239388305879,0,210,193,0,32,0,24,0,0,0,128110835
15403_12_1558061239579063408,0,193,211,0,33,0,7,0,0,0,131489996
15403_12_1558061239742741838,0,211,224,0,64,0,22,0,0,0,137872348
15403_12_1558061239912265503,0,208,198,0,35,0,22,0,0,0,127724682
15403_12_1558061240092684989,0,206,200,0,35,0,19,0,0,0,138402253
15403_12_1558061240289162716,0,207,194,0,30,0,21,0,0,0,80440842
15403_12_1558061240415394922,0,208,193,0,30,0,22,0,0,0,109846487
15403_12_1558061240628143911,0,202,205,0,36,0,15,0,0,0,100575868
15403_12_1558061240791007537,0,202,206,0,39,0,17,0,0,0,80599901
15403_12_1558061240912055570,0,218,229,0,76,0,28,0,0,0,67576417
15403_12_1558061241027921137,0,208,193,0,30,0,22,0,0,0,165463051
15403_12_1558061241193411102,0,209,201,0,39,1,22,0,0,0,165623215
15403_12_1558061241447545969,0,206,223,0,58,0,19,0,0,0,187863733
15403_12_1558061241655135690,0,197,209,0,35,0,11,0,0,0,119882793
